Row	Precision	Recall	F1
1	0.5283	0.6829	0.5957
2	0.3091	0.3269	0.3178
3	0.7632	0.6304	0.6905
4	0.4328	0.3973	0.4143
5	1.0000	1.0000	1.0000
6	0.4634	0.2879	0.3551
7	0.4318	0.4222	0.4270
8	0.4727	0.4000	0.4333
9	0.5652	0.2203	0.3171
10	0.3800	0.3276	0.3519
11	0.3966	0.3898	0.3932
12	0.5000	0.5714	0.5333
13	0.5075	0.4359	0.4690
14	0.8077	0.6774	0.7368
15	0.6970	0.3382	0.4554
16	0.5714	0.6061	0.5882
17	0.6400	0.4211	0.5079
18	0.3846	0.4098	0.3968
19	0.1698	0.1406	0.1538
20	0.5714	0.3922	0.4651
21	0.4340	0.5349	0.4792
22	0.9000	0.5294	0.6667
23	0.3793	0.3014	0.3359
24	0.4384	0.4211	0.4295
25	0.4000	0.4444	0.4211
26	0.3793	0.3143	0.3438
27	0.2442	0.3559	0.2897
28	0.8140	0.5000	0.6195
29	0.4000	0.3000	0.3429
30	0.4091	0.3600	0.3830
31	0.3393	0.4419	0.3838
32	0.2778	0.2632	0.2703
33	0.3750	0.3750	0.3750
34	0.6000	0.6667	0.6316
35	0.6508	0.6029	0.6260
36	0.1633	0.1905	0.1758
37	0.6721	0.7455	0.7069
38	0.3125	0.2885	0.3000
39	0.5128	0.2062	0.2941
40	0.0984	0.2143	0.1348
41	0.8837	0.6786	0.7677
42	0.4429	0.4769	0.4593
43	0.3023	0.4194	0.3514
44	0.5455	0.2526	0.3453
45	1.0000	1.0000	1.0000
46	0.3182	0.3750	0.3443
47	0.2821	0.2292	0.2529
48	0.5185	0.4375	0.4746
49	0.6346	0.4400	0.5197
50	0.4259	0.4792	0.4510
51	1.0000	1.0000	1.0000
52	1.0000	1.0000	1.0000
53	0.4394	0.3580	0.3946
54	0.5000	0.1800	0.2647
55	0.5211	0.5000	0.5103
56	0.3971	0.3803	0.3885
57	0.5238	0.3929	0.4490
58	0.3182	0.2222	0.2617
59	0.5429	0.6129	0.5758
60	0.4545	0.2899	0.3540
61	0.4000	0.3214	0.3564
62	0.5000	0.6364	0.5600
63	0.6512	0.5385	0.5895
64	0.4605	0.5224	0.4895
65	0.5882	0.3797	0.4615
66	0.4722	0.3148	0.3778
67	0.4571	0.2025	0.2807
68	0.3966	0.3538	0.3740
69	0.6667	0.4658	0.5484
70	0.0000	0.0000	0.0000
71	0.4286	0.3125	0.3614
72	0.5345	0.8158	0.6458
73	0.4390	0.3333	0.3789
74	0.4318	0.4318	0.4318
75	0.3704	0.3390	0.3540
76	0.3143	0.1429	0.1964
