Row	Precision	Recall	F1
1	0.3913	0.2195	0.2812
2	0.1471	0.0962	0.1163
3	0.3929	0.2391	0.2973
4	0.3400	0.2329	0.2764
5	0.3571	0.1042	0.1613
6	0.3611	0.1970	0.2549
7	0.1333	0.0889	0.1067
8	0.3833	0.3538	0.3680
9	0.4138	0.2034	0.2727
10	0.2857	0.2069	0.2400
11	0.2676	0.3220	0.2923
12	0.6667	0.1429	0.2353
13	0.4706	0.2051	0.2857
14	0.6667	0.2581	0.3721
15	0.4483	0.1912	0.2680
16	0.2857	0.2424	0.2623
17	0.4000	0.2632	0.3175
18	0.4186	0.2951	0.3462
19	0.1707	0.1094	0.1333
20	0.4000	0.1569	0.2254
21	0.3529	0.2791	0.3117
22	0.4167	0.2941	0.3448
23	0.2958	0.2877	0.2917
24	0.3261	0.3947	0.3571
25	0.4000	0.2593	0.3146
26	0.3043	0.2000	0.2414
27	0.2593	0.2373	0.2478
28	0.2295	0.2000	0.2137
29	0.4783	0.1833	0.2651
30	0.3235	0.2200	0.2619
31	0.3696	0.3953	0.3820
32	0.0000	0.0000	0.0000
33	0.4375	0.5250	0.4773
34	0.3913	0.2500	0.3051
35	0.4902	0.3676	0.4202
36	0.2857	0.0952	0.1429
37	0.5000	0.1273	0.2029
38	0.2750	0.2115	0.2391
39	0.2143	0.0309	0.0541
40	0.0208	0.0357	0.0263
41	0.4314	0.3929	0.4112
42	0.4800	0.3692	0.4174
43	0.1143	0.1290	0.1212
44	0.3514	0.1368	0.1970
45	0.0833	0.2143	0.1200
46	0.3415	0.2500	0.2887
47	0.4444	0.2500	0.3200
48	0.2041	0.1562	0.1770
49	0.3235	0.2933	0.3077
50	0.4062	0.2708	0.3250
51	1.0000	1.0000	1.0000
52	0.0000	0.0000	0.0000
53	0.2881	0.2099	0.2429
54	0.0000	0.0000	0.0000
55	0.4000	0.2162	0.2807
56	0.3333	0.2676	0.2969
57	0.3200	0.1429	0.1975
58	0.2558	0.1746	0.2075
59	0.4773	0.3387	0.3962
60	0.3333	0.2319	0.2735
61	0.1500	0.1607	0.1552
62	0.3455	0.2879	0.3140
63	0.5882	0.3846	0.4651
64	0.3500	0.2090	0.2617
65	0.4783	0.2785	0.3520
66	0.2500	0.1296	0.1707
67	0.1757	0.1646	0.1699
68	0.2571	0.1385	0.1800
69	0.4615	0.1644	0.2424
70	0.2500	0.0200	0.0370
71	0.3871	0.2500	0.3038
72	0.6286	0.5789	0.6027
73	0.2571	0.1667	0.2022
74	0.5667	0.3864	0.4595
75	0.4667	0.3559	0.4038
76	0.4286	0.1169	0.1837
77	0.4182	0.3770	0.3966
78	0.3494	0.3118	0.3295
79	0.2778	0.1639	0.2062
80	0.4583	0.6471	0.5366
81	0.3659	0.2885	0.3226
82	0.3333	0.1231	0.1798
83	0.3529	0.3077	0.3288
84	0.2879	0.2923	0.2901
85	0.4375	0.2211	0.2937
86	0.2000	0.1167	0.1474
87	0.5652	0.1733	0.2653
88	0.2203	0.2063	0.2131
89	0.4815	0.2453	0.3250
90	0.1429	0.0962	0.1149
91	0.3333	0.1613	0.2174
92	0.3256	0.1795	0.2314
93	0.2500	0.1964	0.2200
94	0.2500	0.1061	0.1489
95	0.4500	0.2222	0.2975
96	0.3000	0.1212	0.1727
97	0.2143	0.1132	0.1481
98	0.3529	0.1875	0.2449
99	0.3958	0.3878	0.3918
100	0.2286	0.1053	0.1441
101	0.2778	0.2679	0.2727
102	0.4167	0.2083	0.2778
103	0.2500	0.1429	0.1818
104	0.4000	0.1695	0.2381
105	0.2857	0.2857	0.2857
106	0.5161	0.3404	0.4103
107	0.7143	0.2778	0.4000
108	0.3721	0.2857	0.3232
109	0.3889	0.2642	0.3146
110	0.3673	0.3051	0.3333
111	0.3617	0.2615	0.3036
112	0.3415	0.2059	0.2569
113	0.3023	0.3514	0.3250
114	0.2619	0.1964	0.2245
115	0.3913	0.2368	0.2951
116	0.0847	0.3571	0.1370
117	0.3793	0.1774	0.2418
118	0.2571	0.1915	0.2195
119	0.3056	0.2619	0.2821
120	0.4000	0.2414	0.3011
121	0.4808	0.4545	0.4673
122	0.3750	0.3913	0.3830
123	0.2188	0.1707	0.1918
124	0.3636	0.1667	0.2286
125	0.0200	0.0769	0.0317
126	0.3103	0.2500	0.2769
127	0.4444	0.4324	0.4384
128	0.2121	0.1842	0.1972
