Row	Precision	Recall	F1
1	0.5806	0.4390	0.5000
2	0.3214	0.3462	0.3333
3	0.4103	0.3478	0.3765
4	0.3818	0.2877	0.3281
5	1.0000	1.0000	1.0000
6	0.4110	0.4545	0.4317
7	0.2581	0.1778	0.2105
8	0.6735	0.5077	0.5789
9	0.5000	0.2881	0.3656
10	0.6774	0.3621	0.4719
11	0.3385	0.3729	0.3548
12	1.0000	0.6429	0.7826
13	0.4898	0.3077	0.3780
14	0.7000	0.4516	0.5490
15	0.4318	0.2794	0.3393
16	0.6071	0.5152	0.5574
17	0.3913	0.2368	0.2951
18	0.4828	0.4590	0.4706
19	0.2000	0.1406	0.1651
20	0.6667	0.3922	0.4938
21	0.6471	0.2558	0.3667
22	0.4091	0.3529	0.3789
23	0.3571	0.2740	0.3101
24	0.5625	0.3553	0.4355
25	0.3448	0.3704	0.3571
26	0.4000	0.2857	0.3333
27	0.3151	0.3898	0.3485
28	0.3077	0.0571	0.0964
29	0.3750	0.2500	0.3000
30	0.3000	0.2400	0.2667
31	0.4043	0.4419	0.4222
32	0.3571	0.2632	0.3030
33	0.5385	0.5250	0.5316
34	0.5526	0.5833	0.5676
35	0.5645	0.5147	0.5385
36	0.2500	0.0714	0.1111
37	0.6863	0.6364	0.6604
38	0.2955	0.2500	0.2708
39	0.2308	0.0309	0.0545
40	0.0556	0.0714	0.0625
41	0.8667	0.4643	0.6047
42	0.3571	0.3077	0.3306
43	0.3125	0.3226	0.3175
44	0.6042	0.3053	0.4056
45	1.0000	1.0000	1.0000
46	0.2090	0.2500	0.2276
47	0.4400	0.2292	0.3014
48	0.4324	0.5000	0.4638
49	0.6182	0.4533	0.5231
50	0.3830	0.3750	0.3789
51	1.0000	1.0000	1.0000
52	1.0000	1.0000	1.0000
53	0.2879	0.2346	0.2585
54	0.2143	0.0600	0.0938
55	0.3651	0.3108	0.3358
56	0.4098	0.3521	0.3788
57	0.4211	0.2857	0.3404
58	0.3793	0.3492	0.3636
59	0.4222	0.3065	0.3551
60	0.2143	0.0435	0.0723
61	0.1905	0.2143	0.2017
62	0.6667	0.6667	0.6667
63	0.5610	0.4423	0.4946
64	0.3559	0.3134	0.3333
65	0.4884	0.2658	0.3443
66	0.3333	0.1667	0.2222
67	0.2857	0.0506	0.0860
68	0.6216	0.3538	0.4510
69	0.6098	0.3425	0.4386
70	0.0000	0.0000	0.0000
71	0.3448	0.2083	0.2597
72	0.5745	0.7105	0.6353
73	0.5641	0.4074	0.4731
74	0.6111	0.5000	0.5500
75	0.6757	0.4237	0.5208
76	0.3077	0.0519	0.0889
77	0.3043	0.3443	0.3231
78	0.3485	0.2473	0.2893
79	0.4043	0.3115	0.3519
80	0.7857	0.6471	0.7097
81	0.5882	0.5769	0.5825
82	0.3393	0.2923	0.3140
83	0.2308	0.2308	0.2308
84	0.4310	0.3846	0.4065
85	0.5484	0.1789	0.2698
86	0.3273	0.3000	0.3130
87	0.4423	0.3067	0.3622
88	0.3654	0.3016	0.3304
89	0.4808	0.4717	0.4762
90	0.0882	0.1154	0.1000
91	0.3333	0.2903	0.3103
92	0.5714	0.3077	0.4000
93	0.3226	0.3571	0.3390
94	0.3636	0.2424	0.2909
95	0.4194	0.4815	0.4483
96	0.6230	0.3838	0.4750
97	0.4118	0.2642	0.3218
98	0.4839	0.2344	0.3158
99	0.6304	0.5918	0.6105
100	0.3220	0.2500	0.2815
101	0.3019	0.2857	0.2936
102	0.4179	0.3889	0.4029
103	0.6250	0.3571	0.4545
104	0.4211	0.2712	0.3299
105	0.3953	0.3469	0.3696
106	0.6579	0.5319	0.5882
107	0.7333	0.6111	0.6667
108	0.5122	0.3750	0.4330
109	0.4359	0.3208	0.3696
110	0.5294	0.3051	0.3871
111	0.5577	0.4462	0.4957
112	0.3878	0.2794	0.3248
113	0.3281	0.2838	0.3043
114	0.5143	0.3214	0.3956
115	0.3125	0.2632	0.2857
116	1.0000	1.0000	1.0000
117	0.3784	0.2258	0.2828
118	0.5000	0.1489	0.2295
119	0.2609	0.2857	0.2727
120	0.6786	0.3276	0.4419
121	0.7500	0.6545	0.6990
122	0.4074	0.4783	0.4400
123	0.1639	0.1220	0.1399
124	0.4314	0.4583	0.4444
125	0.8571	0.9231	0.8889
126	0.8750	0.5833	0.7000
127	0.2632	0.2703	0.2667
128	0.7917	0.5000	0.6129
129	0.3953	0.3953	0.3953
130	0.2500	0.2679	0.2586
131	0.3077	0.0541	0.0920
132	0.4359	0.3400	0.3820
133	0.5588	0.5588	0.5588
134	0.4310	0.3788	0.4032
135	0.4706	0.3265	0.3855
136	0.2000	0.0667	0.1000
137	0.4286	0.3699	0.3971
138	0.3810	0.2388	0.2936
139	0.4182	0.3108	0.3566
140	0.7000	0.4000	0.5091
141	0.2414	0.2000	0.2188
142	0.4815	0.3562	0.4094
143	0.4444	0.3333	0.3810
144	0.4000	0.3288	0.3609
145	0.2500	0.0476	0.0800
146	0.3373	0.3457	0.3415
147	0.4714	0.4286	0.4490
148	0.4222	0.3016	0.3519
149	0.5357	0.3488	0.4225
150	0.3898	0.2840	0.3286
151	0.4318	0.3220	0.3689
152	0.4068	0.3478	0.3750
153	0.7333	0.5593	0.6346
154	0.3871	0.2449	0.3000
155	0.4737	0.4865	0.4800
156	0.4615	0.4865	0.4737
157	0.5152	0.3091	0.3864
158	0.6000	0.2727	0.3750
159	0.5192	0.3600	0.4252
160	0.5686	0.4028	0.4715
161	0.3860	0.2750	0.3212
162	0.5682	0.6410	0.6024
163	0.3906	0.3049	0.3425
164	0.3846	0.3659	0.3750
165	0.3810	0.3902	0.3855
166	0.3871	0.3077	0.3429
167	0.6786	0.5135	0.5846
168	0.2143	0.1698	0.1895
169	0.3333	0.3250	0.3291
170	0.6000	0.0789	0.1395
171	0.7647	0.5909	0.6667
172	0.4333	0.2955	0.3514
173	0.2537	0.3091	0.2787
174	0.4444	0.4308	0.4375
175	0.3621	0.3750	0.3684
176	0.6078	0.5167	0.5586
177	0.6667	0.2927	0.4068
178	1.0000	1.0000	1.0000
179	0.4561	0.4000	0.4262
180	1.0000	1.0000	1.0000
181	0.3684	0.0795	0.1308
182	0.4545	0.2174	0.2941
183	0.5417	0.2955	0.3824
184	0.2679	0.3488	0.3030
185	0.0000	0.0000	0.0000
186	0.5000	0.4615	0.4800
187	0.6316	0.4848	0.5486
188	0.3548	0.3385	0.3465
189	0.3143	0.2558	0.2821
190	0.5556	0.3247	0.4098
191	0.4545	0.3763	0.4118
192	0.4576	0.4737	0.4655
193	0.3158	0.2903	0.3025
194	0.6667	0.2000	0.3077
195	0.4565	0.3889	0.4200
196	0.2353	0.1176	0.1569
197	0.8182	0.5294	0.6429
198	0.4490	0.3729	0.4074
199	0.3333	0.2632	0.2941
200	0.4151	0.3099	0.3548
201	0.4286	0.4000	0.4138
202	0.5319	0.3731	0.4386
203	0.3226	0.2667	0.2920
204	0.2143	0.0833	0.1200
205	0.2958	0.3231	0.3088
206	0.4857	0.3864	0.4304
207	0.2727	0.2000	0.2308
208	0.6984	0.5641	0.6241
209	0.5510	0.4154	0.4737
210	0.2326	0.2326	0.2326
211	0.3704	0.3125	0.3390
212	0.4242	0.3256	0.3684
213	0.6182	0.4857	0.5440
214	0.3571	0.2344	0.2830
215	0.2000	0.2143	0.2069
216	0.6154	0.5161	0.5614
217	0.3333	0.2292	0.2716
218	0.6562	0.4375	0.5250
219	0.7857	0.7333	0.7586
220	0.2353	0.1579	0.1890
221	0.3043	0.2000	0.2414
222	0.2667	0.1379	0.1818
223	0.3846	0.2381	0.2941
224	0.3438	0.2115	0.2619
225	0.4694	0.3770	0.4182
226	0.7105	0.3600	0.4779
227	0.4615	0.3000	0.3636
228	0.2821	0.3056	0.2933
229	0.1471	0.1351	0.1408
230	0.3846	0.1111	0.1724
231	0.6512	0.6087	0.6292
232	1.0000	1.0000	1.0000
233	0.3729	0.3143	0.3411
234	0.4286	0.2250	0.2951
235	0.5806	0.4615	0.5143
236	0.5714	0.3871	0.4615
237	0.4194	0.2241	0.2921
238	0.4038	0.3088	0.3500
239	0.3636	0.2597	0.3030
240	0.5161	0.3810	0.4384
241	0.2286	0.2162	0.2222
242	0.3750	0.3429	0.3582
243	0.2459	0.2055	0.2239
244	0.6061	0.4000	0.4819
245	0.3200	0.2025	0.2481
246	0.3793	0.3056	0.3385
247	0.2889	0.3714	0.3250
248	0.4107	0.3239	0.3622
249	0.2857	0.3396	0.3103
250	1.0000	1.0000	1.0000
251	0.5556	0.3509	0.4301
252	0.4348	0.4348	0.4348
253	0.3548	0.3438	0.3492
254	0.2400	0.2553	0.2474
255	0.9630	0.7027	0.8125
256	0.6250	0.4348	0.5128
257	0.6341	0.3611	0.4602
258	0.4500	0.3913	0.4186
259	0.4865	0.3214	0.3871
260	0.4375	0.3415	0.3836
261	1.0000	1.0000	1.0000
262	0.3947	0.3000	0.3409
263	0.5641	0.4000	0.4681
264	0.9107	0.6538	0.7612
