Row	Precision	Recall	F1
1	0.2889	0.1757	0.2185
2	0.4333	0.3250	0.3714
3	0.4478	0.5172	0.4800
4	0.1964	0.2558	0.2222
5	0.2000	0.2162	0.2078
6	0.5769	0.7692	0.6593
7	0.1842	0.0909	0.1217
8	0.6102	0.6207	0.6154
9	0.3333	0.4340	0.3770
10	0.2821	0.4177	0.3367
11	0.4800	0.3158	0.3810
12	0.4400	0.3793	0.4074
13	0.1923	0.2222	0.2062
14	0.1111	0.1429	0.1250
15	0.2315	0.3086	0.2646
16	0.5692	0.5211	0.5441
17	0.8462	0.7857	0.8148
18	1.0000	0.0682	0.1277
19	0.1136	0.1190	0.1163
20	0.4000	0.0702	0.1194
21	0.2716	0.2785	0.2750
22	0.2353	0.2353	0.2353
23	0.4906	0.5306	0.5098
24	0.9333	1.0000	0.9655
25	0.4754	0.4203	0.4462
26	0.2286	0.3333	0.2712
27	0.0580	0.2857	0.0964
28	0.0769	0.1333	0.0976
29	0.4500	0.5696	0.5028
30	0.5849	0.5741	0.5794
31	0.4167	0.5000	0.4545
32	0.0000	0.0000	0.0000
33	0.4783	0.4459	0.4615
34	0.4744	0.5692	0.5175
35	0.4000	0.6154	0.4848
36	0.5323	0.4286	0.4748
37	0.1967	0.1714	0.1832
38	0.8730	0.9167	0.8943
39	0.0746	0.3846	0.1250
40	0.4000	0.0800	0.1333
41	0.3803	0.4821	0.4252
42	0.3571	0.4167	0.3846
43	0.2195	0.2500	0.2338
44	0.4746	0.5490	0.5091
45	0.8000	0.9231	0.8571
46	0.5254	0.6596	0.5849
47	0.2300	0.3898	0.2893
48	0.4054	0.5000	0.4478
49	0.6875	0.8462	0.7586
50	0.2143	0.2500	0.2308
51	0.7692	0.8333	0.8000
52	0.5556	0.5769	0.5660
53	0.6234	0.7273	0.6713
54	0.5000	0.5882	0.5405
55	0.3333	0.3611	0.3467
56	0.4792	0.4107	0.4423
57	0.5077	0.6000	0.5500
58	0.5750	0.5111	0.5412
59	0.4423	0.2371	0.3087
60	0.0580	0.2667	0.0952
61	0.7561	0.8378	0.7949
62	0.6170	0.7632	0.6824
63	0.4643	0.5909	0.5200
64	0.7500	0.6610	0.7027
65	0.3429	0.3158	0.3288
66	0.4889	0.4681	0.4783
67	0.2857	0.3333	0.3077
68	0.1176	0.2857	0.1667
69	0.1429	0.2308	0.1765
70	0.6053	0.6389	0.6216
71	0.5833	0.6000	0.5915
72	0.4250	0.4146	0.4198
73	0.5556	0.5172	0.5357
74	0.4933	0.6607	0.5649
75	0.0800	0.1429	0.1026
76	1.0000	0.2778	0.4348
77	0.2571	0.2571	0.2571
78	0.3793	0.3667	0.3729
79	0.4563	0.4747	0.4653
80	0.2143	0.2069	0.2105
81	0.7111	0.8205	0.7619
82	0.4783	0.2558	0.3333
83	0.2329	0.2073	0.2194
84	0.1299	0.1351	0.1325
85	0.5000	0.0200	0.0385
86	0.3750	0.4286	0.4000
87	0.2500	0.1500	0.1875
88	0.1127	0.1538	0.1301
89	0.2963	0.3200	0.3077
90	0.6667	0.6250	0.6452
91	0.0606	0.1429	0.0851
92	0.1509	0.1250	0.1368
93	0.3684	0.4308	0.3972
94	0.4386	0.4808	0.4587
95	0.4082	0.4444	0.4255
96	0.3636	0.4324	0.3951
97	0.4270	0.5846	0.4935
98	0.5775	0.5467	0.5616
99	0.5139	0.6066	0.5564
100	0.8125	0.9286	0.8667
101	0.4444	0.4571	0.4507
102	0.3505	0.3579	0.3542
103	0.6471	0.4490	0.5301
104	0.3500	0.3750	0.3621
105	0.6957	0.5517	0.6154
106	0.4340	0.3151	0.3651
107	0.4286	0.3846	0.4054
108	0.4400	0.3014	0.3577
109	0.2683	0.2895	0.2785
110	0.3704	0.4000	0.3846
111	0.4946	0.5897	0.5380
112	0.6538	0.6869	0.6700
113	0.2698	0.3036	0.2857
114	0.2817	0.3509	0.3125
115	0.3662	0.4062	0.3852
116	0.4510	0.5000	0.4742
117	0.3896	0.3226	0.3529
118	0.5000	0.4821	0.4909
119	0.4416	0.4146	0.4277
120	0.2712	0.2909	0.2807
121	0.4348	0.4412	0.4380
122	0.3438	0.3667	0.3548
123	0.5000	0.4889	0.4944
124	0.4478	0.4615	0.4545
125	0.4643	0.4262	0.4444
126	0.5556	0.4000	0.4651
127	0.3559	0.3134	0.3333
128	0.3600	0.3750	0.3673
129	0.4194	0.4262	0.4228
130	0.5443	0.6143	0.5772
131	0.4706	0.5333	0.5000
132	0.3396	0.3214	0.3303
133	0.3276	0.3585	0.3423
134	0.5581	0.4528	0.5000
135	0.4286	0.3621	0.3925
136	0.6000	0.4853	0.5366
137	0.3333	0.3784	0.3544
138	0.5778	0.5417	0.5591
139	0.3636	0.3721	0.3678
140	0.4595	0.3269	0.3820
141	0.5385	0.6667	0.5957
142	0.3333	0.2857	0.3077
143	0.3509	0.5405	0.4255
